"","select.static","select.additive","select.multiplicative","nonselect.static","nonselect.additive","nonselect.multiplicative","selWT.static","selWT.additive","selWT.multiplicative","nonWT.static","nonWT.additive","nonWT.multiplicative"
"1",-1.54451938571847,-0.135774651190497,1.07600084166576,-2.12146890582117,-0.000768549880146743,0.753327061651368,-1.80461814070426,0.0109865450424341,0.88844322654732,-1.80461814070426,0.0109865450424341,0.88844322654732
"2",-2.09766957795107,-0.158192441848751,0.937359202338847,-2.29476281904865,0.0156418174832905,0.773429815651079,-1.0030658254088,0.000654351627343593,0.961019808550906,-1.0030658254088,0.000654351627343593,0.961019808550906
"3",-1.42721467030386,-0.169030370175595,1.04269652868903,-1.96403955666287,-0.000551454312207033,0.785198649033404,-1.68239208355631,0.0178422981488928,0.866060167058106,-1.68239208355631,0.0178422981488928,0.866060167058106
"4",-1.44208043790276,-0.203604531872509,0.971837707827979,-1.08642926715645,0.0127192899995066,0.773967881297835,-0.993089147967596,-0.00979669849365824,1.01458070556736,-0.993089147967596,-0.00979669849365824,1.01458070556736
"5",-1.33602946047805,-0.165916430141153,1.06708749231772,-2.07972335417947,-0.026208950137686,0.919055827331328,-0.970889681537705,-0.00347514910724834,0.956979930975417,-0.970889681537705,-0.00347514910724834,0.956979930975417
"6",-2.1039899312669,-0.168629066307152,0.951916067129524,-2.00738149262587,-0.0210740753963268,0.944040949543135,-1.87788780578962,0.0179195054994703,0.866959200902522,-1.87788780578962,0.0179195054994703,0.866959200902522
"7",-1.62034355741695,-0.15374312168517,1.04846067464851,-2.07716732055932,-0.0307166524838056,0.917196979484357,-0.916137012404308,0.0218409075989975,0.914583025108173,-0.916137012404308,0.0218409075989975,0.914583025108173
"8",-1.88819085362637,-0.15171480095186,1.02445756326196,-2.08978455321351,-0.012832724232261,0.938535085011403,-2.18059925171083,0.022207365650599,0.897274286398599,-2.18059925171083,0.022207365650599,0.897274286398599
"9",-1.74080157403926,-0.139206508012858,1.06595243597866,-2.10808809286639,-0.0122394496467968,0.768664042788483,-0.996144412367602,-0.00510351493387752,1.00123254433919,-0.996144412367602,-0.00510351493387752,1.00123254433919
"10",-1.72059754096497,-0.164167783211121,1.0178440738222,-2.71328680051362,0.00443176130615395,0.754817718773937,-0.952073005573256,-0.00597523467314407,0.984661544109862,-0.952073005573256,-0.00597523467314407,0.984661544109862
"11",-1.50823589821605,-0.164829389295759,1.04916697712672,-1.87577376066,0.00529883520357963,0.822124783007335,-0.944459990903637,-0.00259084657739834,0.985123369146429,-0.944459990903637,-0.00259084657739834,0.985123369146429
"12",-1.81322161327421,-0.154005583950313,1.00228092579834,-1.11216421027721,0.0220396428077415,0.873885408771337,-1.74676472955686,0.0198641133683597,0.826755547118998,-1.74676472955686,0.0198641133683597,0.826755547118998
"13",-2.15547866648118,-0.199744886499588,0.979900604784544,-2.21062481636774,-0.0167082960808425,0.7822193672846,-0.981369424344717,0.00124875809963157,1.00718612624372,-0.981369424344717,0.00124875809963157,1.00718612624372
"14",-2.24548237346746,-0.225515878809565,0.949928460596422,-2.08032813359016,-0.0336100997820423,0.886314467200113,-0.959966150917338,0.0113930132413073,0.930826392930657,-0.959966150917338,0.0113930132413073,0.930826392930657
"15",-2.06249767440533,-0.221743802912897,0.942433628994284,-1.98928626413165,-0.0154617954204693,0.88664363518009,-1.00816312129018,-0.00212881280768366,0.965296182223572,-1.00816312129018,-0.00212881280768366,0.965296182223572
"16",-2.10305201777079,-0.137280502283105,1.00770158757676,-1.97399935968823,-0.0186592448090737,0.883493725194167,-2.17043366151165,0.0150040234718367,0.816472646459616,-2.17043366151165,0.0150040234718367,0.816472646459616
"17",-2.2634056744729,-0.219601834153096,0.961908762435918,-1.9553544952877,-0.0102914821141128,0.882322320010506,-1.84105283172391,0.00978571209063208,0.863866621945673,-1.84105283172391,0.00978571209063208,0.863866621945673
"18",-1.52834623427265,-0.109696832681804,1.08331233665228,-1.94150821912159,-0.0201597323675456,0.880274880575831,-0.945810402060318,-0.00161877205970992,0.963353811072979,-0.945810402060318,-0.00161877205970992,0.963353811072979
"19",-1.34437509247612,-0.0872551378832799,1.20858339409698,-1.18907529713708,0.0209345036301221,1.0316845998132,-2.11374639812693,-0.0485536713694145,0.793046739509983,-2.11374639812693,-0.0485536713694145,0.793046739509983
